,tweet,username,Clean Tweets
68,Join us at the iconic Sydney Tower to celebrate 30 years of Bond University! Network in the sky with fellow Bondies… https://t.co/kTXHNeZ4eV,BondUniversity,Join us at the iconic Sydney Tower to celebrate  years of Bond University Network in the sky with fellow Bondies… httpstcokTXHNeZeV
69,@UNAA_National Western Sydney University has signed the UN Sustainable Development Solutions Network Higher Educati… https://t.co/qJeNftO3t6,westernsydneyu,UNAANational Western Sydney University has signed the UN Sustainable Development Solutions Network Higher Educati… httpstcoqJeNftOt
70,@aliceleung Hi Alice! I now coordinate the one at University of Sydney - happy to answer questions.,holkershaw,aliceleung Hi Alice I now coordinate the one at University of Sydney  happy to answer questions
71,"Just Sold by Eva Lu! A HIGH RETURNS STUDENT INVESTMENT! Walk to University of Sydney! Located at 3101/185 Broadway,… https://t.co/y8x28KMVYj",kholeepyrmont,Just Sold by Eva Lu A HIGH RETURNS STUDENT INVESTMENT Walk to University of Sydney Located at  Broadway… httpstcoyxKMVYj
72,We're working on bug fixes and optimisation of process. We'll be back bigger and better early in the new year for W… https://t.co/Brbw81VEkE,hackyhourWSU,Were working on bug fixes and optimisation of process Well be back bigger and better early in the new year for W… httpstcoBrbwVEkE
73,There wasn't any horsin' around when new University of Minnesota President Joan Gabel came to the @UMNCrookston cam… https://t.co/kuYbbpmwtg,sydney_mook,There wasnt any horsin around when new University of Minnesota President Joan Gabel came to the UMNCrookston cam… httpstcokuYbbpmwtg
74,University of Western Sydney 'science' student. Says it all really doesn't it. Why are taxpayers funding student pl… https://t.co/2VGqnU6yT4,PaulMBrisbane,University of Western Sydney science student Says it all really doesnt it Why are taxpayers funding student pl… httpstcoVGqnUyT
75,TRIVIA! What year did the University of Sydney host the first Australia women's baseball national championships?… https://t.co/Bwo58o0aZl,womenbaseball1,TRIVIA What year did the University of Sydney host the first Australia womens baseball national championships… httpstcoBwooaZl
76,ProCan: how a database of cancer proteins may transform treatment - The University of Sydney https://t.co/Ni85Ofjq2X,NabbyK,ProCan how a database of cancer proteins may transform treatment  The University of Sydney httpstcoNiOfjqX
77,"Please join us Wednesday, Nov. 13th to help celebrate the college signings of the following soccer players:
Ashlyn… https://t.co/iJ93oNpwvP",Smwvikingsoccer,"Please join us Wednesday Nov th to help celebrate the college signings of the following soccer players
Ashlyn… httpstcoiJoNpwvP"
78,"""The study, which is published in the journal BioScience by researchers from the University of Sydney, Oregon State… https://t.co/Oz6uJGvOJL",ElinSilveous,The study which is published in the journal BioScience by researchers from the University of Sydney Oregon State… httpstcoOzuJGvOJL
79,"#Sydney, #Australia - Seminar 🇦🇺

Date: Tuesday, November 12
Time: 4:00 PM
Location: New Law Seminar Room 022, Univ… https://t.co/BJGXFNjNdj",GlobalSolidHK,"Sydney Australia  Seminar Australia

Date Tuesday November 
Time  PM
Location New Law Seminar Room  Univ… httpstcoBJGXFNjNdj"
80,A University of Sydney study used reins containing embedded #loadcells to measure the rein tension employed when co… https://t.co/f8dzjVtard,Load_Cell_Shop,A University of Sydney study used reins containing embedded loadcells to measure the rein tension employed when co… httpstcofdzjVtard
